i,r,t,Value
hydED,CA_SE,2020,120.0
hydED,CA_SE,2023,120.0
hydED,CA_SE,2026,120.0
hydED,CA_SE,2029,120.0
hydED,CA_SE,2032,120.0
hydED,OR_E,2010,1110.9
hydED,OR_E,2015,1110.9
hydED,OR_E,2020,1110.9
hydED,OR_E,2023,1110.9
hydED,OR_E,2026,1110.9
hydED,OR_E,2029,1110.9
hydED,OR_E,2032,1110.9
hydED,OR_W,2010,366.0
hydED,OR_W,2015,366.0
hydED,OR_W,2020,366.0
hydED,OR_W,2023,366.0
hydED,OR_W,2026,366.0
hydED,OR_W,2029,366.0
hydED,OR_W,2032,366.0
hydED,WA_E,2010,11165.3
hydED,WA_E,2015,11165.3
hydED,WA_E,2020,11165.3
hydED,WA_E,2023,11165.3
hydED,WA_E,2026,11165.3
hydED,WA_E,2029,11165.3
hydED,WA_E,2032,11165.3
hydED,WA_W,2010,1157.7
hydED,WA_W,2015,1157.7
hydED,WA_W,2020,1157.7
hydED,WA_W,2023,1157.7
hydED,WA_W,2026,1157.7
hydED,WA_W,2029,1157.7
hydED,WA_W,2032,1157.7
hydEND,CA_LA,2010,355.0
hydEND,CA_LA,2015,355.0
hydEND,CA_LA,2020,355.0
hydEND,CA_LA,2023,355.0
hydEND,CA_LA,2026,355.0
hydEND,CA_LA,2029,355.0
hydEND,CA_LA,2032,355.0
hydEND,CA_N,2010,4367.1
hydEND,CA_N,2015,4367.1
hydEND,CA_N,2020,4367.1
hydEND,CA_N,2023,4367.1
hydEND,CA_N,2026,4367.1
hydEND,CA_N,2029,4367.1
hydEND,CA_N,2032,4367.1
hydEND,CA_S,2010,1515.62
hydEND,CA_S,2015,1515.62
hydEND,CA_S,2020,1515.62
hydEND,CA_S,2023,1515.62
hydEND,CA_S,2026,1515.62
hydEND,CA_S,2029,1515.62
hydEND,CA_S,2032,1515.62
hydEND,CA_SE,2010,443.6
hydEND,CA_SE,2015,443.6
hydEND,CA_SE,2020,443.6
hydEND,CA_SE,2023,443.6
hydEND,CA_SE,2026,443.6
hydEND,CA_SE,2029,443.6
hydEND,CA_SE,2032,443.6
hydEND,OR_E,2010,145.8
hydEND,OR_E,2015,145.8
hydEND,OR_E,2020,145.8
hydEND,OR_E,2023,145.8
hydEND,OR_E,2026,145.8
hydEND,OR_E,2029,145.8
hydEND,OR_E,2032,145.8
hydEND,OR_W,2010,1865.3
hydEND,OR_W,2015,1865.3
hydEND,OR_W,2020,1865.3
hydEND,OR_W,2023,1865.3
hydEND,OR_W,2026,1865.3
hydEND,OR_W,2029,1865.3
hydEND,OR_W,2032,1865.3
hydEND,WA_E,2010,11120.46
hydEND,WA_E,2015,11120.46
hydEND,WA_E,2020,11120.46
hydEND,WA_E,2023,11120.46
hydEND,WA_E,2026,11120.46
hydEND,WA_E,2029,11120.46
hydEND,WA_E,2032,11120.46
hydEND,WA_W,2010,1628.3
hydEND,WA_W,2015,1628.3
hydEND,WA_W,2020,1628.3
hydEND,WA_W,2023,1628.3
hydEND,WA_W,2026,1628.3
hydEND,WA_W,2029,1628.3
hydEND,WA_W,2032,1628.3
electrolyzer,CA_LA,2029,126.52464
electrolyzer,CA_LA,2032,126.52464
upv_1,CA_N,2023,1.8
upv_1,CA_N,2026,8.8
upv_1,CA_N,2029,8.8
upv_1,CA_N,2032,8.8
upv_1,OR_W,2015,5.2
upv_1,OR_W,2020,115.0
